deal_id,sdc_deal_id,deal_name,acquirer,target,agreement_date,attribute,machine_value,evidence_basis,evidence_status,document_id,document_type,source_url,source_locator,excerpt_kind,evidence_excerpt,limitation,salvage_reference
pilot_001_intuit_mailchimp,3783818020,Intuit–Mailchimp,Intuit Inc.,The Rocket Science Group LLC (Mailchimp),2021-09-13,legal_transaction_form,equity_purchase,direct_passage,direct,doc_intuit_mailchimp_ex21,SEC Exhibit 2.1,https://www.sec.gov/Archives/edgar/data/896878/000119312521271682/d226456dex21.htm,"Equity Purchase Agreement; Articles VII, Sections 7.6–7.7",paraphrase,Equity Purchase Agreement (agreement title as filed).,Legal form is read from the agreement title and structure in the salvage record; the exact statutory mechanics are not re-verified here.,pilot_deals.csv legal_form; documents.csv
pilot_001_intuit_mailchimp,3783818020,Intuit–Mailchimp,Intuit Inc.,The Rocket Science Group LLC (Mailchimp),2021-09-13,scope_and_control,entity_equity|control_transferred,inferred_from_legal_form,partial,doc_intuit_mailchimp_ex21,SEC Exhibit 2.1,https://www.sec.gov/Archives/edgar/data/896878/000119312521271682/d226456dex21.htm,Equity Purchase Agreement,paraphrase,Buyer acquired the equity interests of the target under an equity purchase agreement.,Percentage of equity acquired is not restated in the reviewed passage.,pilot_deals.csv legal_form
pilot_001_intuit_mailchimp,3783818020,Intuit–Mailchimp,Intuit Inc.,The Rocket Science Group LLC (Mailchimp),2021-09-13,ip_treatment,acquired_with_entity,inferred_from_legal_form,indirect,doc_intuit_mailchimp_ex21,SEC Exhibit 2.1,https://www.sec.gov/Archives/edgar/data/896878/000119312521271682/d226456dex21.htm,Equity Purchase Agreement,paraphrase,IP remains with the acquired entity under an equity purchase; no separate IP licence is disclosed in the reviewed passage.,Inferred from the transaction form only: no reviewed passage addresses intellectual-property treatment directly.,pilot_deals.csv legal_form
pilot_001_intuit_mailchimp,3783818020,Intuit–Mailchimp,Intuit Inc.,The Rocket Science Group LLC (Mailchimp),2021-09-13,business_product_continuity,unknown,unknown,unknown,doc_intuit_mailchimp_ex21,SEC Exhibit 2.1,https://www.sec.gov/Archives/edgar/data/896878/000119312521271682/d226456dex21.htm,Articles VII,paraphrase,No reviewed passage states whether the Mailchimp product continues as a separate unit.,"The integration signal recorded in the salvage package concerns employee and benefit-plan information requests, not product continuity.",pilot_deals.csv integration_signal
pilot_001_intuit_mailchimp,3783818020,Intuit–Mailchimp,Intuit Inc.,The Rocket Science Group LLC (Mailchimp),2021-09-13,workforce_movement,group_continuing_employees|named_founders,direct_passage,direct,doc_intuit_mailchimp_ex21,SEC Exhibit 2.1,https://www.sec.gov/Archives/edgar/data/896878/000119312521271682/d226456dex21.htm,Section 7.6(a)–(c); recitals,paraphrase,The agreement required a post-closing retention pool of $200 million plus an assumed award value in purchaser RSUs for eligible continuing employees. Founders Benjamin Chestnut (sellers' representative) and Daniel Kurzius (restrictive covenant agreement) are named in the agreement.,"A retention pool is a contractual design, not proof that recipients stayed; founder naming is a contract role, not an observed post-deal role.","evidence_passages.csv ev_001; key_people.csv person_001, person_002"
pilot_001_intuit_mailchimp,3783818020,Intuit–Mailchimp,Intuit Inc.,The Rocket Science Group LLC (Mailchimp),2021-09-13,talent_motive_explicit,partial,direct_passage,partial,doc_intuit_mailchimp_ex21,SEC Exhibit 2.1,https://www.sec.gov/Archives/edgar/data/896878/000119312521271682/d226456dex21.htm,Sections 7.6–7.7,paraphrase,"The agreement required transaction bonuses to be paid to business employees after closing through the company payroll system, alongside the retention pool.",Quantified retention instruments show the buyer priced employee continuity; they do not state that people were the motive for the deal.,"evidence_passages.csv ev_001, ev_002"
pilot_002_clarivate_proquest,3741094020,Clarivate–ProQuest,Clarivate PLC,ProQuest Holdings LLC,2021-05-15,legal_transaction_form,transaction_agreement_form_not_asserted,direct_passage,partial,doc_clarivate_proquest_ex21,SEC Exhibit 2.1,https://www.sec.gov/Archives/edgar/data/1764046/000110465921067259/tm2116608d1_ex2-1.htm,"Transaction Agreement; Article 8, Section 8.01(a)",paraphrase,Transaction Agreement (agreement title as filed); the salvage record deliberately does not assert the exact legal form.,Legal form is read from the agreement title and structure in the salvage record; the exact statutory mechanics are not re-verified here.,pilot_deals.csv legal_form
pilot_002_clarivate_proquest,3741094020,Clarivate–ProQuest,Clarivate PLC,ProQuest Holdings LLC,2021-05-15,scope_and_control,entity_equity|control_transferred,inferred_from_legal_form,partial,doc_clarivate_proquest_ex21,SEC Exhibit 2.1,https://www.sec.gov/Archives/edgar/data/1764046/000110465921067259/tm2116608d1_ex2-1.htm,Transaction Agreement,paraphrase,Clarivate acquired ProQuest Holdings LLC under a transaction agreement.,The reviewed passage does not restate the purchase mechanics.,pilot_deals.csv
pilot_002_clarivate_proquest,3741094020,Clarivate–ProQuest,Clarivate PLC,ProQuest Holdings LLC,2021-05-15,ip_treatment,acquired_with_entity,inferred_from_legal_form,indirect,doc_clarivate_proquest_ex21,SEC Exhibit 2.1,https://www.sec.gov/Archives/edgar/data/1764046/000110465921067259/tm2116608d1_ex2-1.htm,Transaction Agreement,paraphrase,No separate IP licence is disclosed in the reviewed passage.,Inferred from the transaction form only: no reviewed passage addresses intellectual-property treatment directly.,pilot_deals.csv legal_form
pilot_002_clarivate_proquest,3741094020,Clarivate–ProQuest,Clarivate PLC,ProQuest Holdings LLC,2021-05-15,business_product_continuity,unknown,unknown,unknown,doc_clarivate_proquest_ex21,SEC Exhibit 2.1,https://www.sec.gov/Archives/edgar/data/1764046/000110465921067259/tm2116608d1_ex2-1.htm,Section 8.01(a),paraphrase,No reviewed passage addresses product or business-unit continuity.,"The salvage integration signal concerns benefit comparability, not product continuity.",pilot_deals.csv integration_signal
