topic_label,rank,passage_id,deal_id,source_url,topic_weight,supporting_excerpt,human_fit_label,reviewer_note
topic_5787d58e,1,passage_0ffe875ed0300f93,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,1.0,Zebra Technologies and Its Channel Partners Continue to Support Front-Line Workers,,
topic_5787d58e,2,passage_2958eb660ddb6681,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,1.0,Sogegross Group Increases Front-Line Worker Productivity With Zebra Technologies,,
topic_5787d58e,3,passage_68a024fb024bc605,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,1.0,Zebra Technologies Empowers Front-Line Workers with Next-Generation Mobile Computing Solution,,
topic_5787d58e,4,passage_949618066d7a7221,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,1.0,Zebra Technologies Introduces Five Rugged Mobile Computers to Increase Front-Line Worker Productivity,,
topic_5787d58e,5,passage_be8908cba27a3da5,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,1.0,Scottish & Southern Electricity Networks (SSEN) Improves Front-Line Workers’ Productivity with Zebra Technologies,,
topic_5787d58e,6,passage_dd89ff8e103e9095,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,1.0,Forza Cash Logistics Increases Field Worker Productivity by 20% with Zebra Technologies,,
topic_5787d58e,7,passage_6165a0701c7135a5,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,0.9856,Zebra Technologies Improves Worker Productivity with Its First Individually Assigned Enterprise Mobile Computer,,
topic_5787d58e,8,passage_fe9576f3890637fc,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,0.9767,Zebra Technologies Introduces Automation Solutions at MODEX 2024 to Empower Connected Workers,,
topic_5787d58e,9,passage_3c8b0198869c1ac7,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,0.9762,Zebra Technologies to Showcase Solutions Designed to Empower Healthcare Workers at HIMSS 2025,,
topic_5787d58e,10,passage_b5d837129601c64c,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,0.9598,70% of Frontline Workers Report Rising Concerns with Injuries on the Warehouse Floor,,
topic_1a765e60,1,passage_07d2431212e14579,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,1.0,Workforce Optimization,,
topic_1a765e60,2,passage_2ffc7e5b56643e2b,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,1.0,Zebra Recognized as a Leader in Nucleus Research 2025 Workforce Management Technology Value Matrix,,
topic_1a765e60,3,passage_4cc3d2a5e68feaff,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,1.0,Zebra Named Leader In 2023 Nucleus Research Workforce Management Technology Value Matrix,,
topic_1a765e60,4,passage_57b4e08be826d747,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,1.0,IKI Selects Reflexis Systems Intelligent Workforce Management to Optimize Labour Efficiency,,
