deal_id,acquirer_name,target_name,topic_id,weight_sum,normalized_weight,primary_passage_count,zero_state
3480790020,Roper Technologies Inc,Vertafore Inc,topic_1,20.39242128,0.345634259,24,
3480790020,Roper Technologies Inc,Vertafore Inc,topic_2,29.33137458,0.4971419421,27,
3480790020,Roper Technologies Inc,Vertafore Inc,topic_3,9.276204137,0.1572237989,8,
3515714020,1-800-Flowers.com Inc,PersonalizationMall.com Inc,topic_1,16.32828598,0.3080808675,16,
3515714020,1-800-Flowers.com Inc,PersonalizationMall.com Inc,topic_2,32.29094138,0.6092630448,35,
3515714020,1-800-Flowers.com Inc,PersonalizationMall.com Inc,topic_3,4.380772649,0.08265608771,2,
3517450020,Intuit Inc,Credit Karma Inc,topic_1,69.60891183,0.3722401702,66,
3517450020,Intuit Inc,Credit Karma Inc,topic_2,41.46271462,0.2217257466,42,
3517450020,Intuit Inc,Credit Karma Inc,topic_3,75.92837355,0.4060340832,79,
3519983020,DocuSign Inc,Seal Software Ltd,topic_1,22.74360466,0.2445548888,16,
3519983020,DocuSign Inc,Seal Software Ltd,topic_2,45.2965284,0.4870594451,50,
3519983020,DocuSign Inc,Seal Software Ltd,topic_3,24.95986695,0.2683856661,27,
3521692020,CleanSpark Inc,P2klabs Inc,topic_1,12.14910219,0.6074551095,14,
3521692020,CleanSpark Inc,P2klabs Inc,topic_2,3.942145301,0.1971072651,3,
3521692020,CleanSpark Inc,P2klabs Inc,topic_3,3.908752508,0.1954376254,3,
3523484020,Intellinetics Inc,Graphic Sciences Inc,topic_1,13.24199678,0.3894704936,14,
3523484020,Intellinetics Inc,Graphic Sciences Inc,topic_2,19.59502383,0.5763242304,20,
3523484020,Intellinetics Inc,Graphic Sciences Inc,topic_3,1.162979385,0.03420527603,0,
3525025040,Xerox Holdings Corp,Digitex Canada Inc,topic_1,23.65010417,0.3941684029,23,
3525025040,Xerox Holdings Corp,Digitex Canada Inc,topic_2,12.02081472,0.2003469121,14,
3525025040,Xerox Holdings Corp,Digitex Canada Inc,topic_3,24.3290811,0.4054846851,23,
3545651040,Simulations Plus Inc,Lixoft SAS,topic_1,14.21479116,0.5076711128,17,
3545651040,Simulations Plus Inc,Lixoft SAS,topic_2,10.54166554,0.376488055,9,
3545651040,Simulations Plus Inc,Lixoft SAS,topic_3,3.243543303,0.1158408322,2,
3567824020,Rapid7 Inc,Divvy Cloud Corp,topic_1,10.73784498,0.2334314126,10,
3567824020,Rapid7 Inc,Divvy Cloud Corp,topic_2,20.39050169,0.4432717758,21,
3567824020,Rapid7 Inc,Divvy Cloud Corp,topic_3,14.87165334,0.3232968116,15,
3575962020,Flotek Industries Inc,JP3 Measurement LLC,topic_1,34.19967829,0.3599966135,29,
3575962020,Flotek Industries Inc,JP3 Measurement LLC,topic_2,45.31521272,0.4770022391,56,
3575962020,Flotek Industries Inc,JP3 Measurement LLC,topic_3,15.485109,0.1630011473,10,
3586998020,BIO-key International Inc,PistolStar Inc,topic_1,8.204711685,0.356726595,8,
3586998020,BIO-key International Inc,PistolStar Inc,topic_2,13.45230437,0.5848827989,15,
3586998020,BIO-key International Inc,PistolStar Inc,topic_3,1.342983941,0.05839060613,0,
3595648020,Uber Technologies Inc,Postmates Inc,topic_1,79.11975756,0.3697184933,79,
3595648020,Uber Technologies Inc,Postmates Inc,topic_2,47.77351544,0.2232407263,39,
3595648020,Uber Technologies Inc,Postmates Inc,topic_3,87.10672701,0.4070407804,96,
3600947020,Analog Devices Inc,Maxim Integrated Products Inc,topic_1,76.23870441,0.3358533234,75,
3600947020,Analog Devices Inc,Maxim Integrated Products Inc,topic_2,62.94626697,0.2772963303,71,
3600947020,Analog Devices Inc,Maxim Integrated Products Inc,topic_3,87.81502862,0.3868503463,81,
3601404020,Hewlett Packard Enterprise Co,Silver Peak Systems Inc,topic_1,25.3422708,0.2147650068,17,
3601404020,Hewlett Packard Enterprise Co,Silver Peak Systems Inc,topic_2,45.02278632,0.3815490366,45,
3601404020,Hewlett Packard Enterprise Co,Silver Peak Systems Inc,topic_3,47.63494288,0.4036859566,56,
3601877020,Asure Software Inc,PTM Inc-Certain Assets,topic_1,15.71658079,0.3416647999,14,
3601877020,Asure Software Inc,PTM Inc-Certain Assets,topic_2,26.72772008,0.581037393,31,
3601877020,Asure Software Inc,PTM Inc-Certain Assets,topic_3,3.555699127,0.07729780712,1,
3617548020,Teladoc Health Inc,Livongo Health Inc,topic_1,74.74092341,0.3428482725,66,
3617548020,Teladoc Health Inc,Livongo Health Inc,topic_2,58.00208623,0.2660646157,59,
3617548020,Teladoc Health Inc,Livongo Health Inc,topic_3,85.25699036,0.3910871118,93,
